|average_vote|exam_id|
|------------|-------|
|16,8824     |1      |
|16,4615     |2      |
|20,3333     |3      |
|27          |4      |
|17,5        |6      |
|19,6        |7      |
|6,5         |8      |
|12          |9      |
|17,4324     |11     |
|14,8889     |12     |
|22          |13     |
|18,0526     |16     |
|19          |17     |
|5,5         |18     |
|22          |19     |
|16,6176     |21     |
|15          |22     |
|12,75       |23     |
|12          |24     |
|3           |25     |
|19,1667     |26     |
|24,5        |27     |
|16,9583     |31     |
|17,25       |32     |
|20,1818     |36     |
|22          |37     |
|19,5263     |41     |
|20,6        |42     |
|17,4        |46     |
|16,3333     |47     |
|17,44       |51     |
|18,1667     |52     |
|11          |53     |
|19,3333     |54     |
|17,4545     |56     |
|15,2        |57     |
|9           |58     |
|14          |59     |
|21,6667     |61     |
|17,2        |66     |
|22,25       |67     |
|21          |68     |
|24          |71     |
|14          |72     |
|26          |73     |
|20,5455     |76     |
|22          |77     |
|8           |78     |
|32          |79     |
|15,875      |81     |
|27          |82     |
|20,1538     |86     |
|13          |87     |
|28          |88     |
|12,1111     |91     |
|23,3333     |92     |
|18,38       |96     |
|17,3889     |97     |
|11,3333     |98     |
|20          |99     |
|16,5        |101    |
|19,2        |102    |
|18,8        |103    |
|12,5        |104    |
|17,3889     |106    |
|15          |107    |
|20          |108    |
|16,4681     |111    |
|15,5833     |112    |
|24,5        |113    |
|14,2391     |116    |
|16,9412     |117    |
|19          |118    |
|9           |119    |
|19,5556     |121    |
|19,1667     |122    |
|12,5        |123    |
|19,5        |126    |
|16,7        |127    |
|10,6        |128    |
|24          |129    |
|17,2857     |131    |
|14,9167     |132    |
|14          |133    |
|12          |134    |
|16,6563     |136    |
|11,3636     |137    |
|14,75       |138    |
|4           |139    |
|19          |140    |
|18,8857     |141    |
|14          |142    |
|10          |143    |
|17,5556     |146    |
|12,7778     |147    |
|17          |148    |
|17,871      |151    |
|14,8571     |152    |
|25          |153    |
|17,625      |156    |
|16,7273     |157    |
|19,25       |158    |
|19,3214     |161    |
|18,2857     |162    |
|7           |163    |
|20          |164    |
|16,5        |166    |
|12,6        |167    |
|8           |168    |
|13,4722     |171    |
|17,1667     |172    |
|18          |173    |
|17,8788     |176    |
|17          |177    |
|28,6667     |178    |
|23,5294     |181    |
|19,2222     |186    |
|26,25       |187    |
|20,1579     |191    |
|17,5        |192    |
|19          |193    |
|21,7273     |196    |
|24          |197    |
|19,8        |201    |
|19,4286     |206    |
|9,5         |207    |
|10,5        |208    |
|26,5        |209    |
|14          |211    |
|25          |212    |
|32          |213    |
|19,3158     |216    |
|13,6        |217    |
|21          |218    |
|18,8667     |221    |
|23          |222    |
|26          |223    |
|18,3704     |226    |
|20,4        |227    |
|21,5        |228    |
|4           |229    |
|26          |230    |
|19          |231    |
|16,5        |232    |
|29          |233    |
|16,6923     |236    |
|20,6667     |237    |
|5           |238    |
|10          |239    |
|17,3667     |241    |
|18,8889     |242    |
|22,6667     |243    |
|20,7333     |246    |
|13,25       |247    |
|18          |248    |
|26          |249    |
|12,8485     |251    |
|17,7692     |252    |
|7,6667      |253    |
|8           |254    |
|18          |256    |
|22,625      |257    |
|27,5        |258    |
|18,7931     |261    |
|19,6        |262    |
|17,6364     |266    |
|18,3333     |267    |
|17,5        |268    |
|19,25       |271    |
|22,3333     |272    |
|19          |273    |
|20,8333     |276    |
|21,7143     |277    |
|17,5        |278    |
|15,0435     |281    |
|17,3333     |282    |
|33          |283    |
|13,7143     |286    |
|18,75       |287    |
|16,5        |288    |
|18,5714     |291    |
|6           |292    |
|17,4444     |296    |
|20,3333     |297    |
|21          |301    |
|16,6667     |302    |
|22          |303    |
|16,2        |306    |
|12          |307    |
|13          |308    |
|22          |309    |
|13,4        |311    |
|22          |312    |
|25,5        |313    |
|15,75       |316    |
|22          |317    |
|19,125      |321    |
|13          |322    |
|10          |323    |
|10          |324    |
|22          |325    |
|15,9474     |326    |
|15,5333     |327    |
|21,5        |328    |
|18,1935     |331    |
|18,6        |332    |
|16,5        |333    |
|5           |334    |
|15,2286     |336    |
|19,3846     |337    |
|22,6667     |338    |
|15,2903     |341    |
|17,5556     |342    |
|26,5        |343    |
|17,1        |346    |
|19,4444     |347    |
|19,5        |348    |
|16,4211     |351    |
|25,1667     |352    |
|4           |353    |
|15          |354    |
|17,3333     |356    |
|17,6667     |357    |
|18,7692     |361    |
|23          |362    |
|17          |363    |
|19,15       |366    |
|23,3333     |367    |
|16,6111     |371    |
|13,6667     |372    |
|23          |373    |
|16,75       |376    |
|21          |377    |
|19          |378    |
|6           |379    |
|17,6818     |381    |
|14,4286     |382    |
|23,5        |383    |
|19          |384    |
|18,6897     |386    |
|19          |387    |
|16          |388    |
|15          |389    |
|20,4091     |391    |
|17,3333     |392    |
|16          |393    |
|15,7692     |396    |
|19,8        |397    |
|14          |398    |
|8           |399    |
|13          |400    |
|16,2941     |401    |
|18,4        |402    |
|20,5556     |406    |
|24          |407    |
|21,2        |411    |
|7,3333      |412    |
|18          |413    |
