|degree_id|name                           |period    |year|
|---------|-------------------------------|----------|----|
|1        |provident aut non              |I semestre|1   |
|1        |et doloremque omnis            |I semestre|1   |
|1        |nam nostrum et                 |I semestre|1   |
|2        |ut animi adipisci              |I semestre|1   |
|2        |ut rem libero                  |I semestre|1   |
|2        |soluta voluptatem at           |I semestre|1   |
|2        |impedit et eaque               |I semestre|1   |
|3        |perspiciatis quae eveniet      |I semestre|1   |
|3        |enim qui ea                    |I semestre|1   |
|3        |earum aperiam nihil            |I semestre|1   |
|3        |odio odit id                   |I semestre|1   |
|4        |officia esse maxime            |I semestre|1   |
|4        |corporis incidunt ex           |I semestre|1   |
|4        |quam repellat enim             |I semestre|1   |
|5        |et harum nulla                 |I semestre|1   |
|5        |debitis vel pariatur           |I semestre|1   |
|5        |id id qui                      |I semestre|1   |
|5        |molestias minima voluptates    |I semestre|1   |
|5        |ipsam atque animi              |I semestre|1   |
|6        |corporis consequatur labore    |I semestre|1   |
|6        |minima iste veniam             |I semestre|1   |
|6        |quis quasi eos                 |I semestre|1   |
|7        |sint nulla ut                  |I semestre|1   |
|7        |ut sit est                     |I semestre|1   |
|7        |voluptas amet vitae            |I semestre|1   |
|7        |non aperiam ab                 |I semestre|1   |
|8        |quia vero illum                |I semestre|1   |
|8        |est ab dolores                 |I semestre|1   |
|8        |quibusdam dolor alias          |I semestre|1   |
|8        |temporibus voluptatem magni    |I semestre|1   |
|9        |deleniti et ullam              |I semestre|1   |
|9        |nihil aut voluptatem           |I semestre|1   |
|9        |eaque veritatis ea             |I semestre|1   |
|9        |soluta placeat asperiores      |I semestre|1   |
|10       |nesciunt esse natus            |I semestre|1   |
|10       |accusamus ducimus saepe        |I semestre|1   |
|10       |quae non voluptate             |I semestre|1   |
|10       |explicabo ab voluptas          |I semestre|1   |
|10       |ut voluptatibus neque          |I semestre|1   |
|11       |ullam ullam dignissimos        |I semestre|1   |
|11       |omnis aut ab                   |I semestre|1   |
|11       |ratione aut quas               |I semestre|1   |
|12       |at id rerum                    |I semestre|1   |
|12       |aliquid aut excepturi          |I semestre|1   |
|12       |fugit odio sapiente            |I semestre|1   |
|12       |eligendi temporibus sit        |I semestre|1   |
|13       |fugit dolorem voluptas         |I semestre|1   |
|13       |fuga et aut                    |I semestre|1   |
|13       |officiis fugiat voluptatem     |I semestre|1   |
|14       |quia praesentium perferendis   |I semestre|1   |
|14       |et autem exercitationem        |I semestre|1   |
|14       |quo recusandae dignissimos     |I semestre|1   |
|15       |facere laboriosam quod         |I semestre|1   |
|15       |et modi aliquid                |I semestre|1   |
|15       |ut perferendis sunt            |I semestre|1   |
|16       |est tempora aliquid            |I semestre|1   |
|16       |illo qui culpa                 |I semestre|1   |
|16       |numquam deserunt quasi         |I semestre|1   |
|16       |occaecati officiis aliquid     |I semestre|1   |
|17       |ad qui qui                     |I semestre|1   |
|17       |ea et harum                    |I semestre|1   |
|17       |distinctio quo praesentium     |I semestre|1   |
|17       |rerum sint voluptates          |I semestre|1   |
|17       |nihil vero voluptas            |I semestre|1   |
|18       |inventore reiciendis deserunt  |I semestre|1   |
|18       |aut ullam pariatur             |I semestre|1   |
|18       |fugit molestiae earum          |I semestre|1   |
|18       |nisi illum vitae               |I semestre|1   |
|19       |est magni explicabo            |I semestre|1   |
|19       |hic omnis dolore               |I semestre|1   |
|19       |non occaecati voluptatem       |I semestre|1   |
|19       |adipisci aliquam dolorum       |I semestre|1   |
|20       |est ab ratione                 |I semestre|1   |
|20       |natus et hic                   |I semestre|1   |
|20       |omnis rerum tenetur            |I semestre|1   |
|20       |officiis corrupti et           |I semestre|1   |
|21       |impedit nobis exercitationem   |I semestre|1   |
|21       |ex vero sunt                   |I semestre|1   |
|21       |vel ut corporis                |I semestre|1   |
|21       |ut ea officia                  |I semestre|1   |
|22       |officia dolor a                |I semestre|1   |
|22       |nisi error temporibus          |I semestre|1   |
|22       |ut fuga sapiente               |I semestre|1   |
|22       |eligendi corrupti tempore      |I semestre|1   |
|23       |est accusantium vitae          |I semestre|1   |
|23       |ipsa omnis temporibus          |I semestre|1   |
|23       |reprehenderit numquam et       |I semestre|1   |
|23       |qui quibusdam accusantium      |I semestre|1   |
|24       |ipsum dolor suscipit           |I semestre|1   |
|24       |est atque et                   |I semestre|1   |
|24       |fugit debitis sapiente         |I semestre|1   |
|24       |iure impedit iusto             |I semestre|1   |
|24       |quia aspernatur dolorum        |I semestre|1   |
|25       |ducimus numquam rerum          |I semestre|1   |
|25       |unde voluptas delectus         |I semestre|1   |
|25       |et officia sunt                |I semestre|1   |
|26       |vel deleniti tempore           |I semestre|1   |
|26       |laboriosam ut iusto            |I semestre|1   |
|26       |consequatur ea ipsam           |I semestre|1   |
|26       |tenetur et itaque              |I semestre|1   |
|27       |minima est et                  |I semestre|1   |
|27       |dolores facilis aliquid        |I semestre|1   |
|27       |sequi saepe iure               |I semestre|1   |
|28       |ipsam sed rem                  |I semestre|1   |
|28       |vel beatae illum               |I semestre|1   |
|28       |et non molestiae               |I semestre|1   |
|29       |sapiente nihil et              |I semestre|1   |
|29       |aliquam voluptas reiciendis    |I semestre|1   |
|29       |minus facilis accusantium      |I semestre|1   |
|30       |voluptatibus dicta odit        |I semestre|1   |
|30       |amet dicta et                  |I semestre|1   |
|30       |sit ipsum accusamus            |I semestre|1   |
|31       |distinctio numquam illum       |I semestre|1   |
|31       |ducimus sapiente at            |I semestre|1   |
|31       |et est porro                   |I semestre|1   |
|31       |quos voluptatem quis           |I semestre|1   |
|32       |culpa quis expedita            |I semestre|1   |
|32       |aut enim nesciunt              |I semestre|1   |
|32       |voluptas nihil nesciunt        |I semestre|1   |
|32       |aut dolores ut                 |I semestre|1   |
|32       |laboriosam fugit et            |I semestre|1   |
|33       |est aut qui                    |I semestre|1   |
|33       |quibusdam nobis architecto     |I semestre|1   |
|33       |dolore enim eius               |I semestre|1   |
|34       |ut veritatis magnam            |I semestre|1   |
|34       |distinctio deleniti minus      |I semestre|1   |
|34       |dolor ab possimus              |I semestre|1   |
|34       |eius animi atque               |I semestre|1   |
|34       |est magni quos                 |I semestre|1   |
|35       |facilis adipisci provident     |I semestre|1   |
|35       |totam illo non                 |I semestre|1   |
|35       |dolor ea voluptatem            |I semestre|1   |
|36       |aperiam ut suscipit            |I semestre|1   |
|36       |dolorem voluptatem consequuntur|I semestre|1   |
|36       |eaque vero sapiente            |I semestre|1   |
|36       |necessitatibus aut quis        |I semestre|1   |
|37       |et assumenda nihil             |I semestre|1   |
|37       |ex molestiae rerum             |I semestre|1   |
|37       |quam voluptatem nihil          |I semestre|1   |
|37       |labore sequi incidunt          |I semestre|1   |
|37       |qui doloremque dolorem         |I semestre|1   |
|38       |necessitatibus voluptas ut     |I semestre|1   |
|38       |deleniti nesciunt amet         |I semestre|1   |
|38       |velit esse soluta              |I semestre|1   |
|38       |tempore quod eum               |I semestre|1   |
|39       |qui quasi recusandae           |I semestre|1   |
|39       |incidunt et velit              |I semestre|1   |
|39       |est in officia                 |I semestre|1   |
|39       |reiciendis totam quis          |I semestre|1   |
|40       |error nobis similique          |I semestre|1   |
|40       |dolor optio non                |I semestre|1   |
|40       |architecto accusamus dolores   |I semestre|1   |
|41       |adipisci ut suscipit           |I semestre|1   |
|41       |nemo esse placeat              |I semestre|1   |
|41       |magnam aut repellat            |I semestre|1   |
|41       |facere sit est                 |I semestre|1   |
|41       |molestias autem similique      |I semestre|1   |
|42       |perspiciatis itaque rerum      |I semestre|1   |
|42       |ratione placeat vel            |I semestre|1   |
|42       |quis asperiores rem            |I semestre|1   |
|42       |saepe laudantium quia          |I semestre|1   |
|42       |et vero aspernatur             |I semestre|1   |
|43       |illum est ea                   |I semestre|1   |
|43       |commodi esse voluptas          |I semestre|1   |
|43       |et nesciunt fugit              |I semestre|1   |
|43       |cumque omnis ullam             |I semestre|1   |
|44       |provident aspernatur aliquid   |I semestre|1   |
|44       |magni in perferendis           |I semestre|1   |
|44       |enim odit debitis              |I semestre|1   |
|44       |eligendi est rerum             |I semestre|1   |
|44       |sed nostrum consequuntur       |I semestre|1   |
|45       |odio et sed                    |I semestre|1   |
|45       |ipsam qui quo                  |I semestre|1   |
|45       |commodi praesentium repudiandae|I semestre|1   |
|46       |aperiam nostrum sint           |I semestre|1   |
|46       |illo delectus repellendus      |I semestre|1   |
|46       |dolorum quos eum               |I semestre|1   |
|46       |rerum sed animi                |I semestre|1   |
|47       |labore tempora odit            |I semestre|1   |
|47       |quia omnis et                  |I semestre|1   |
|47       |non rerum molestiae            |I semestre|1   |
|47       |sit aut aliquam                |I semestre|1   |
|47       |consequatur rerum asperiores   |I semestre|1   |
|48       |voluptatem consectetur voluptas|I semestre|1   |
|48       |consequatur eius et            |I semestre|1   |
|48       |nihil in rem                   |I semestre|1   |
|49       |sed est autem                  |I semestre|1   |
|49       |nobis nesciunt fugit           |I semestre|1   |
|49       |eum pariatur quia              |I semestre|1   |
|50       |dolorem blanditiis nemo        |I semestre|1   |
|50       |veniam occaecati et            |I semestre|1   |
|50       |quia mollitia voluptates       |I semestre|1   |
|50       |excepturi blanditiis fugiat    |I semestre|1   |
|51       |sequi ut libero                |I semestre|1   |
|51       |est cum explicabo              |I semestre|1   |
|51       |iusto quibusdam et             |I semestre|1   |
|51       |est id hic                     |I semestre|1   |
|51       |deleniti et consectetur        |I semestre|1   |
|52       |ullam voluptatem facere        |I semestre|1   |
|52       |et rem natus                      |I semestre|1   |
|52       |error odio enim                   |I semestre|1   |
|52       |quasi occaecati nulla             |I semestre|1   |
|53       |sint quam unde                    |I semestre|1   |
|53       |nobis delectus veritatis          |I semestre|1   |
|53       |cupiditate dolor et               |I semestre|1   |
|54       |est omnis possimus                |I semestre|1   |
|54       |consequatur est numquam           |I semestre|1   |
|54       |provident nemo est                |I semestre|1   |
|55       |nihil omnis et                    |I semestre|1   |
|55       |voluptatem perferendis repellendus|I semestre|1   |
|55       |unde architecto pariatur          |I semestre|1   |
|55       |dolor quia ex                     |I semestre|1   |
|55       |eveniet rerum minima              |I semestre|1   |
|56       |commodi laboriosam cumque         |I semestre|1   |
|56       |sit sint eveniet                  |I semestre|1   |
|56       |amet quod repudiandae             |I semestre|1   |
|56       |voluptas dolores quos             |I semestre|1   |
|57       |et eos optio                      |I semestre|1   |
|57       |rerum deserunt eaque              |I semestre|1   |
|57       |iusto fuga et                     |I semestre|1   |
|57       |cupiditate ullam earum            |I semestre|1   |
|58       |nobis aut voluptas                |I semestre|1   |
|58       |autem aut occaecati               |I semestre|1   |
|58       |perspiciatis magnam dolores       |I semestre|1   |
|59       |sint et perferendis               |I semestre|1   |
|59       |iusto sed quas                    |I semestre|1   |
|59       |at dolorem temporibus             |I semestre|1   |
|59       |doloribus iusto quia              |I semestre|1   |
|60       |numquam aspernatur nesciunt       |I semestre|1   |
