|exam_id|date      |hour    |
|-------|----------|--------|
|48     |2020-06-20|14:15:00|
|368    |2020-06-20|14:20:00|
|598    |2020-06-20|15:20:00|
|1.078  |2020-06-20|16:40:00|
|1.463  |2020-06-20|16:00:00|
|1.578  |2020-06-20|14:45:00|
|1.663  |2020-06-20|14:40:00|
|1.988  |2020-06-20|15:20:00|
|2.298  |2020-06-20|15:45:00|
|2.433  |2020-06-20|16:00:00|
|2.578  |2020-06-20|16:45:00|
|2.873  |2020-06-20|14:45:00|
|3.423  |2020-06-20|15:30:00|
|3.948  |2020-06-20|16:45:00|
|4.558  |2020-06-20|16:40:00|
|5.013  |2020-06-20|14:45:00|
|5.473  |2020-06-20|16:00:00|
|5.593  |2020-06-20|16:20:00|
|6.103  |2020-06-20|14:40:00|
|6.328  |2020-06-20|16:30:00|
|6.403  |2020-06-20|16:00:00|
